FILE_TYPE	FILE	LIBRARY_STRATEGY	experiment	analysis_type	short_analysis_type	analysis_group	ALIGNMENT_SOFTWARE	ALIGNMENT_SOFTWARE_VERSION	ANALYSIS_SOFTWARE	ANALYSIS_SOFTWARE_VERSION
CHIP_MACS2_BB	.	CHIP-SEQ	.	MASC2_peak	peak	EMBL-EBI	BWA	bwa-0.7.7	MACS2	2.0.10.20131216
CHIP_MACS2_BROAD_BB	.	CHIP-SEQ	.	MACS2_broad_peak	broad_peak	EMBL-EBI	BWA	bwa-0.7.7	MACS2	2.0.10.20131216
CHIP_WIGGLER	.	CHIP-SEQ	.	MACS2_wiggler	wiggler	EMBL-EBI	BWA	bwa-0.7.7	WIGGLER	.
DNASE_HOTSPOT_BED	.	DNASE-HYPERSENSITIVITY	DNase	HOTSPOT_peak	peak	EMBL-EBI	BWA	bwa-0.7.7	HOPSPOT	v3
DNASE_HOTSPOT_BB	.	DNASE-HYPERSENSITIVITY	DNase	HOTSPOT_peak	peak	EMBL-EBI	BWA	bwa-0.7.7	HOTSPOT	v3
DNASE_WIGGLER	.	DNASE-HYPERSENSITIVITY	DNase	wiggler	wiggler	EMBL-EBI	BWA	bwa-0.7.7	WIGGLER	.
BS_METH_CALL_CNAG	.	BISULFITE-SEQ	BS-Seq	CPG_methylation_calls	Meth	CNAG	GEM	v3	BS_CALL	v2
BS_METH_COV_CNAG	.	BISULFITE-SEQ	BS-Seq	CPG_methylation_cov	Cov	CNAG	GEM	v3	BS_CALL	v2
BS_HYPER_METH_BB_CNAG	.	BISULFITE-SEQ	BS-Seq	hyper_methylation	Hypo	CNAG	GEM	v3	BS_CALL	v2
BS_HYPO_METH_BB_CNAG	.	BISULFITE-SEQ	BS-Seq	hypo_methylation	Hyper	CNAG	GEM	v3	BS_CALL	v2
RNA_SIGNAL_STAR_CRG	minusStrand\.star	RNA-SEQ	RNA-Seq	RNAMinus	-	CRG	STAR	2.4.0j	RSEM	v 1.2.21
RNA_SIGNAL_STAR_CRG	minusStrandMulti\.star	RNA-SEQ	RNA-Seq	RNAMinusMulti	-	CRG	STAR	2.4.0j	RSEM	v 1.2.21
RNA_SIGNAL_STAR_CRG	plusStrand\.star	RNA-SEQ	RNA-Seq	RNAPlus	+	CRG	STAR	2.4.0j	RSEM	v 1.2.21
RNA_SIGNAL_STAR_CRG	plusStrandMulti\.star	RNA-SEQ	RNA-Seq	RNAPlusMulti	+	CRG	STAR	2.4.0j	RSEM	v 1.2.21
RNA_SIGNAL_STAR_CRG	\.signal\.star	RNA-SEQ	RNA-Seq	RNAUnstranded	RNA	CRG	STAR	2.4.0j	RSEM	v 1.2.21
RNA_SIGNAL_STAR_CRG	\.signalMulti	RNA-SEQ	RNA-Seq	RNAUnstrandedMulti	RNA	CRG	STAR	2.4.0j	RSEM	v 1.2.21
